"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",0.484,0.333,0.484,0.372,2.14,N/A,-6.145,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",0.982,0.333,0.982,0.372,2.14,N/A,-8.238,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",1.479,0.333,1.479,0.372,2.14,N/A,-10.723,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",1.947,0.333,1.947,0.605,3.52,N/A,9.397,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",1.987,0.333,1.987,0.404,2.33,N/A,10.459,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",2.484,0.333,2.484,0.351,2.02,N/A,-16.048,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",2.982,0.333,2.982,0.351,2.02,N/A,-16.124,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 2",3.519,0.333,3.519,0.372,2.14,N/A,-13.163,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",0.454,0.667,0.454,0.372,2.14,N/A,-8.811,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",0.982,0.667,0.982,0.351,2.02,N/A,-12.749,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",1.450,0.667,1.450,0.351,2.02,N/A,-15.107,0.328,N/A,N/A,N/A,N/A,N/A,""
